Student ID,student_name,gender,grade,school_name,reading_score,math_score
3694,Melissa Dyer,F,12th,Figueroa High School,99,99
4269,Michael Stein Jr.,M,12th,Figueroa High School,99,99
6372,Brandon Francis,M,10th,Shelton High School,99,99
7117,Carol Robinson,F,10th,Shelton High School,99,99
7955,Jennifer Morris,F,9th,Hernandez High School,99,99
8254,Amy Garcia,F,9th,Hernandez High School,99,99
8651,David Roth,M,9th,Hernandez High School,99,99
11489,Ralph Brown,M,11th,Hernandez High School,99,99
11867,Paul Brennan,M,10th,Hernandez High School,99,99
13497,Shane Clark,M,10th,Griffin High School,99,99
13554,Kelly Williams,F,9th,Griffin High School,99,99
17753,Cody Bernard,M,10th,Cabrera High School,99,99
24038,Julie Robinson,F,11th,Pena High School,99,99
24206,Bobby Gilbert,M,12th,Pena High School,99,99
28864,Carla Quinn,F,12th,Rodriguez High School,99,99
31839,Jessica Schroeder,F,9th,Johnson High School,99,99
34652,Richard Kaufman,M,9th,Johnson High School,99,99
37577,Tiffany Graham,F,10th,Thomas High School,99,99
37598,Jeffery Calderon,M,10th,Thomas High School,99,99
37635,George Morgan,M,9th,Thomas High School,99,99
38658,Nathan Maldonado,M,10th,Thomas High School,99,99
4212,Warren Blake,M,9th,Figueroa High School,98,99
4438,Andrew Barnett,M,9th,Figueroa High School,98,99
8291,Darren Day,M,12th,Hernandez High School,98,99
8677,Heather Grant,F,9th,Hernandez High School,98,99
8982,Shannon Butler,F,9th,Hernandez High School,98,99
10579,Crystal Hawkins,F,10th,Hernandez High School,98,99
11175,Jermaine Zuniga,M,12th,Hernandez High School,98,99
12109,Jennifer Hardy,F,12th,Hernandez High School,98,99
12304,Anna Reyes,F,11th,Griffin High School,98,99
14211,Vickie Williams,F,9th,Wilson High School,98,99
15350,Emma Hawkins,F,9th,Wilson High School,98,99
15726,Nicole Jordan,F,10th,Wilson High School,98,99
16369,Cynthia Dominguez,F,10th,Cabrera High School,98,99
17704,Taylor Summers,F,11th,Cabrera High School,98,99
18228,Katherine Wilson,F,11th,Bailey High School,98,99
19044,Debbie Brown DVM,F,9th,Bailey High School,98,99
19965,Michele Love,F,11th,Bailey High School,98,99
24596,Kenneth Santos,M,11th,Wright High School,98,99
24618,Scott Lyons,M,9th,Wright High School,98,99
24769,Wanda Beasley,F,11th,Wright High School,98,99
24887,Erin Vazquez,F,12th,Wright High School,98,99
